self-test: enumeration reproduces PV-21 and the involution counts 1,2,4,10,26,76,232,764
length 17: sweeping self-dual permutations ending in 1 (= I(16) of them) in 27940 work units on 12 workers
  [20/27940] checked 661,176  1,578/s  elapsed 7.0m
  [5540/27940] checked 15,057,148  4,669/s  elapsed 53.8m
  [5560/27940] checked 15,076,140  4,668/s  elapsed 53.8m
  [5580/27940] checked 15,095,132  4,669/s  elapsed 53.9m
  [5600/27940] checked 15,114,124  4,664/s  elapsed 54.0m
  [5620/27940] checked 15,166,192  4,580/s  elapsed 55.2m
  [5640/27940] checked 15,301,104  4,621/s  elapsed 55.2m
  [5660/27940] checked 15,367,256  4,641/s  elapsed 55.2m
  [5680/27940] checked 15,433,408  4,661/s  elapsed 55.2m
  [5700/27940] checked 15,499,560  4,657/s  elapsed 55.5m
  [5720/27940] checked 15,565,712  4,668/s  elapsed 55.6m
  [5740/27940] checked 15,624,988  4,668/s  elapsed 55.8m
  [5760/27940] checked 15,691,140  4,669/s  elapsed 56.0m
  [5780/27940] checked 15,741,136  4,677/s  elapsed 56.1m
  [5800/27940] checked 15,760,128  4,683/s  elapsed 56.1m
  [5820/27940] checked 15,779,120  4,683/s  elapsed 56.2m
  [5840/27940] checked 15,798,112  4,681/s  elapsed 56.2m
  [5860/27940] checked 15,817,104  4,684/s  elapsed 56.3m
  [5880/27940] checked 15,836,096  4,685/s  elapsed 56.3m
  [5900/27940] checked 15,880,524  4,672/s  elapsed 56.7m
  [5920/27940] checked 15,899,516  4,677/s  elapsed 56.7m
  [5940/27940] checked 15,918,508  4,683/s  elapsed 56.7m
  [5960/27940] checked 15,937,500  4,688/s  elapsed 56.7m
  [5980/27940] checked 15,956,492  4,687/s  elapsed 56.7m
  [6000/27940] checked 15,975,484  4,691/s  elapsed 56.8m
  [6020/27940] checked 16,019,912  4,677/s  elapsed 57.1m
  [6040/27940] checked 16,038,904  4,683/s  elapsed 57.1m
  [6060/27940] checked 16,057,896  4,688/s  elapsed 57.1m
  [6080/27940] checked 16,076,888  4,693/s  elapsed 57.1m
  [6100/27940] checked 16,095,880  4,690/s  elapsed 57.2m
  [6120/27940] checked 16,114,872  4,691/s  elapsed 57.3m
  [6140/27940] checked 16,159,300  4,676/s  elapsed 57.6m
  [6160/27940] checked 16,178,292  4,681/s  elapsed 57.6m
  [6180/27940] checked 16,197,284  4,687/s  elapsed 57.6m
  [6200/27940] checked 16,216,276  4,689/s  elapsed 57.6m
  [6220/27940] checked 16,235,268  4,688/s  elapsed 57.7m
  [6240/27940] checked 16,254,260  4,688/s  elapsed 57.8m
  [6260/27940] checked 16,298,688  4,678/s  elapsed 58.1m
  [6280/27940] checked 16,317,680  4,683/s  elapsed 58.1m
  [6300/27940] checked 16,336,672  4,689/s  elapsed 58.1m
  [6320/27940] checked 16,355,664  4,694/s  elapsed 58.1m
  [6340/27940] checked 16,374,656  4,695/s  elapsed 58.1m
  [6360/27940] checked 16,393,648  4,698/s  elapsed 58.2m
  [6380/27940] checked 16,438,076  4,685/s  elapsed 58.5m
  [6400/27940] checked 16,457,068  4,691/s  elapsed 58.5m
  [6420/27940] checked 16,476,060  4,696/s  elapsed 58.5m
  [6440/27940] checked 16,495,052  4,701/s  elapsed 58.5m
  [6460/27940] checked 16,514,044  4,701/s  elapsed 58.6m
  [6480/27940] checked 16,533,036  4,696/s  elapsed 58.7m
